Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,2,58,43466,0,0.0,0
0,2,58,43466,8,0.00011420249938964844,0
0,2,58,43467,0,0.062441110610961914,0
0,2,58,43467,8,0.00010657310485839844,0
0,2,78,21752,11,0.03606867790222168,0
0,2,58,43468,0,0.026370763778686523,0
0,2,58,43468,8,0.00011396408081054688,0
0,2,58,43469,0,0.062439918518066406,0
0,2,58,43469,8,0.00011348724365234375,0
0,2,78,21753,11,0.036009788513183594,0
0,2,58,43470,0,0.026444435119628906,0
0,2,58,43470,8,0.0001010894775390625,0
0,2,58,43471,0,0.0624542236328125,0
0,2,58,43471,8,9.989738464355469e-05,0
0,2,78,21754,11,0.03594827651977539,0
0,2,58,43472,0,0.026506900787353516,0
0,2,58,43472,8,0.00011277198791503906,0
0,2,58,43473,0,0.062433481216430664,0
0,2,58,43473,8,0.00010776519775390625,0
0,2,78,21755,11,0.03588986396789551,0
1,2,60,10099,1,0.0023996829986572266,0
0,2,68,10099,9,5.269050598144531e-05,0
0,2,58,43474,0,0.024103879928588867,0
0,2,58,43474,8,0.00010776519775390625,0
0,2,58,43475,0,0.06243777275085449,0
0,2,58,43475,8,0.00011277198791503906,0
0,2,78,21756,11,0.035832881927490234,0
0,2,58,43476,0,0.026605844497680664,1
0,2,58,43476,8,0.00011444091796875,1
3,2,78,21757,11,0.004201650619506836,1
0,2,58,43477,0,0.05823111534118652,1
0,2,58,43477,8,9.1552734375e-05,1
0,2,78,21757,11,0.035802364349365234,1
0,2,58,43478,0,0.0266568660736084,1
0,2,58,43478,8,9.942054748535156e-05,1
0,2,58,43479,0,0.06244778633117676,1
0,2,58,43479,8,0.00010061264038085938,1
3,2,78,21758,11,0.004439592361450195,1
3,2,78,21759,11,0.15600919723510742,1
3,2,78,21760,11,0.1560056209564209,1
3,2,78,21761,11,0.1639542579650879,1
3,2,78,21762,11,0.16401338577270508,1
3,2,78,21763,11,0.159956693649292,1
3,2,78,21764,11,0.16003680229187012,1
1,2,60,10100,1,0.15807127952575684,1
3,2,78,21765,11,0.009929895401000977,1
1,2,60,10101,1,0.01318979263305664,1
3,2,78,21766,11,0.14302873611450195,1
3,2,78,21767,11,0.17177152633666992,1
0,2,58,256,1,0.07450628280639648,1
3,2,78,21768,11,0.08147573471069336,1
3,2,78,21769,11,0.15601420402526855,1
3,2,78,21770,11,0.16000652313232422,1
3,2,78,21771,11,0.15999865531921387,1
3,2,78,21772,11,0.17200136184692383,1
3,2,78,21773,11,0.15596485137939453,1
1,2,60,10102,1,0.0556027889251709,1
3,2,78,21774,11,0.10021185874938965,1
3,2,78,21775,11,0.16421294212341309,1
3,2,78,21776,11,0.16000771522521973,1
3,2,78,21777,11,0.15599536895751953,1
3,2,78,21778,11,0.15998458862304688,1
0,2,58,257,1,0.03054523468017578,1
3,2,78,21779,11,0.12546920776367188,1
3,2,78,21780,11,0.15599727630615234,1
3,2,78,21781,11,0.15998339653015137,1
1,2,60,10103,1,0.05405116081237793,1
3,2,78,21782,11,0.1019754409790039,1
0,2,58,258,1,0.18156790733337402,1
3,2,78,21783,11,0.002431631088256836,1
3,2,78,21784,11,0.15961408615112305,1
3,2,78,21785,11,0.15638065338134766,1
1,2,60,10104,1,0.03741455078125,1
3,2,78,21786,11,0.1225578784942627,1
3,2,78,21787,11,0.1640486717224121,1
3,2,78,21788,11,0.15954875946044922,1
3,2,78,21789,11,0.16042351722717285,1
3,2,78,21790,11,0.1642763614654541,1
1,2,60,10105,1,0.025211811065673828,1
