Source,Destination,Length,Sequence,MessageType,Label
0,3,58,27895,0,0
0,3,58,27895,8,0
0,3,78,14722,11,0
0,3,58,27896,0,0
0,3,58,27896,8,0
0,3,58,27897,0,0
0,3,58,27897,8,0
1,3,60,27519,1,0
0,3,68,27519,9,0
0,3,78,14723,11,0
0,3,58,27898,0,0
0,3,58,27898,8,0
0,3,58,27899,0,0
0,3,58,27899,8,0
0,3,78,14724,11,0
0,3,58,27900,0,0
0,3,58,27900,8,0
0,3,58,27901,0,0
0,3,58,27901,8,0
0,3,78,14725,11,0
0,3,58,27902,0,0
0,3,58,27902,8,0
0,3,58,27903,0,0
0,3,58,27903,8,0
0,3,78,14726,11,0
0,3,58,27904,0,0
0,3,58,27904,8,0
0,3,60,27904,0,1
0,3,60,27904,8,1
0,3,58,27905,0,0
0,3,58,27905,8,0
0,3,60,27904,0,1
0,3,78,14727,11,0
0,3,60,27904,8,1
0,3,58,27906,0,0
0,3,58,27906,8,0
0,3,60,27905,0,1
0,3,60,27905,8,1
0,3,58,27907,0,0
0,3,58,27907,8,0
0,3,60,27904,0,1
0,3,78,14728,11,0
0,3,58,27908,0,0
0,3,58,27908,8,0
1,3,60,27520,1,0
0,3,68,27520,9,0
0,3,60,27904,8,1
0,3,60,27906,0,1
0,3,58,27909,0,0
0,3,58,27909,8,0
0,3,60,27906,8,1
0,3,60,27905,0,1
0,3,78,14729,11,0
0,3,58,27910,0,0
0,3,58,27910,8,0
0,3,60,27905,8,1
0,3,60,27907,0,1
0,3,58,27911,0,0
0,3,58,27911,8,0
0,3,60,27907,8,1
0,3,78,14730,11,0
0,3,60,27904,0,1
0,3,58,27912,0,0
0,3,58,27912,8,0
0,3,60,27908,0,1
0,3,60,27908,8,1
0,3,58,27913,0,0
0,3,58,27913,8,0
0,3,60,27904,8,1
0,3,78,14731,11,0
0,3,58,27914,0,0
0,3,58,27914,8,0
0,3,60,27906,0,1
0,3,60,27909,0,1
0,3,58,27915,0,0
0,3,58,27915,8,0
0,3,60,27909,8,1
0,3,60,27906,8,1
0,3,78,14732,11,0
0,3,58,27916,0,0
0,3,58,27916,8,0
0,3,60,27905,0,1
0,3,60,27910,0,1
0,3,58,27917,0,0
0,3,58,27917,8,0
0,3,60,27910,8,1
0,3,78,14733,11,0
0,3,60,27905,8,1
0,3,58,27918,0,0
0,3,58,27918,8,0
0,3,60,27907,0,1
0,3,58,27919,0,0
0,3,58,27919,8,0
0,3,60,27911,0,1
0,3,78,14734,11,0
0,3,58,27920,0,0
0,3,58,27920,8,0
0,3,60,27911,8,1
0,3,60,27907,8,1
0,3,58,27921,0,0
0,3,58,27921,8,0
0,3,60,27904,0,1
0,3,60,27912,0,1
0,3,78,14735,11,0
0,3,58,27922,0,0
0,3,58,27922,8,0
0,3,60,27912,8,1
0,3,60,27908,0,1
0,3,58,27923,0,0
0,3,58,27923,8,0
0,3,60,27908,8,1
0,3,78,14736,11,0
0,3,60,27913,0,1
0,3,58,27924,0,0
0,3,58,27924,8,0
0,3,60,27913,8,1
0,3,58,27925,0,0
0,3,58,27925,8,0
0,3,60,27904,8,1
0,3,60,27914,0,1
0,3,78,14737,11,0
0,3,58,27926,0,0
0,3,58,27926,8,0
0,3,60,27914,8,1
0,3,58,27927,0,0
0,3,58,27927,8,0
0,3,60,27906,0,1
0,3,78,14738,11,0
0,3,60,27909,0,1
0,3,58,27928,0,0
0,3,58,27928,8,0
0,3,58,27929,0,0
0,3,58,27929,8,0
0,3,60,27915,0,1
0,3,78,14739,11,0
0,3,58,27930,0,0
0,3,58,27930,8,0
0,3,60,27915,8,1
0,3,58,27931,0,0
0,3,58,27931,8,0
0,3,60,27909,8,1
0,3,78,14740,11,0
0,3,58,27932,0,0
0,3,58,27932,8,0
0,3,60,27906,8,1
0,3,60,27916,0,1
0,3,58,27933,0,0
0,3,58,27933,8,0
0,3,60,27916,8,1
1,3,60,27521,1,0
0,3,68,27521,9,0
0,3,78,14741,11,0
0,3,58,27934,0,0
0,3,58,27934,8,0
0,3,60,27905,0,1
0,3,60,27910,0,1
0,3,58,27935,0,0
0,3,58,27935,8,0
0,3,60,27917,0,1
0,3,60,27917,8,1
0,3,78,14742,11,0
0,3,58,27936,0,0
0,3,58,27936,8,0
0,3,60,27910,8,1
0,3,60,27905,8,1
0,3,58,27937,0,0
0,3,58,27937,8,0
0,3,60,27918,0,1
0,3,78,14743,11,0
0,3,60,27918,8,1
0,3,58,27938,0,0
0,3,58,27938,8,0
0,3,60,27907,0,1
0,3,58,27939,0,0
0,3,58,27939,8,0
0,3,60,27919,0,1
0,3,60,27919,8,1
0,3,78,14744,11,0
0,3,58,27940,0,0
0,3,58,27940,8,0
0,3,60,27911,0,1
0,3,60,27920,0,1
0,3,58,27941,0,0
0,3,58,27941,8,0
0,3,60,27920,8,1
0,3,78,14745,11,0
0,3,58,27942,0,0
0,3,58,27942,8,0
0,3,60,27911,8,1
0,3,60,27907,8,1
0,3,58,27943,0,0
0,3,58,27943,8,0
0,3,60,27921,0,1
0,3,78,14746,11,0
0,3,58,27944,0,0
0,3,58,27944,8,0
0,3,60,27921,8,1
0,3,60,27904,0,1
0,3,58,27945,0,0
0,3,58,27945,8,0
0,3,60,27912,0,1
0,3,78,14747,11,0
0,3,58,27946,0,0
0,3,58,27946,8,0
0,3,60,27922,0,1
0,3,60,27922,8,1
0,3,58,27947,0,0
0,3,58,27947,8,0
0,3,60,27912,8,1
0,3,60,27908,0,1
0,3,78,14748,11,0
0,3,58,27948,0,0
0,3,58,27948,8,0
0,3,60,27923,0,1
0,3,60,27923,8,1
0,3,58,27949,0,0
0,3,58,27949,8,0
0,3,60,27908,8,1
0,3,78,14749,11,0
0,3,60,27913,0,1
0,3,58,27950,0,0
0,3,58,27950,8,0
0,3,60,27924,0,1
0,3,60,27924,8,1
0,3,58,27951,0,0
0,3,58,27951,8,0
0,3,60,27913,8,1
0,3,78,14750,11,0
0,3,58,27952,0,0
0,3,58,27952,8,0
0,3,60,27925,0,1
0,3,60,27925,8,1
0,3,58,27953,0,0
0,3,58,27953,8,0
0,3,60,27904,8,1
0,3,78,14751,11,0
0,3,58,27954,0,0
0,3,58,27954,8,0
0,3,60,27914,0,1
0,3,58,27955,0,0
0,3,58,27955,8,0
0,3,60,27926,0,1
0,3,60,27926,8,1
0,3,78,14752,11,0
0,3,58,27956,0,0
0,3,58,27956,8,0
0,3,60,27914,8,1
0,3,60,27927,0,1
0,3,58,27957,0,0
0,3,58,27957,8,0
0,3,60,27927,8,1
0,3,78,14753,11,0
0,3,58,27958,0,0
0,3,58,27958,8,0
0,3,60,27906,0,1
0,3,60,27909,0,1
0,3,58,27959,0,0
0,3,58,27959,8,0
0,3,60,27928,0,1
0,3,78,14754,11,0
