Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,2,60,11771,0,0.0,0
1,2,58,5731,0,0.024631,0
1,2,58,5731,8,3.099999999999978e-05,0
1,2,78,2866,11,4.000000000000531e-06,0
0,2,78,38654,11,0.039476000000000004,0
0,2,60,11772,0,2.4999999999997247e-05,0
1,2,58,5732,0,0.022968000000000002,0
1,2,58,5732,8,3.199999999999037e-05,0
1,2,78,38199,11,0.0025230000000000113,1
0,2,60,11773,0,0.03835799999999999,0
1,2,58,5733,0,0.021592,0
1,2,58,5733,8,3.0000000000002247e-05,0
1,2,78,2867,11,4.000000000004e-06,0
0,2,78,38655,11,0.042524000000000006,0
0,2,60,11774,0,3.699999999998149e-05,0
1,2,58,5734,0,0.01990900000000001,0
1,2,58,5734,8,2.9000000000001247e-05,0
1,2,78,38200,11,0.018507999999999997,1
0,2,60,11775,0,0.02532799999999999,0
1,2,58,5735,0,0.01863999999999999,0
1,2,58,5735,8,2.6999999999999247e-05,0
1,2,78,2868,11,3.000000000030756e-06,0
0,2,78,38656,11,0.037495999999999974,0
0,2,60,11776,0,3.900000000001125e-05,0
1,2,58,5736,0,0.02493899999999999,0
1,2,58,5736,8,2.6000000000026002e-05,0
1,2,78,38201,11,0.036511000000000016,1
0,2,60,11777,0,0.002326999999999968,0
1,2,58,5737,0,0.023641000000000023,0
1,2,58,5737,8,2.799999999997249e-05,0
1,2,78,2869,11,3.000000000030756e-06,0
0,2,78,38657,11,0.04044199999999998,0
0,2,60,11778,0,1.2000000000012001e-05,0
1,2,58,5738,0,0.02201900000000001,0
1,2,58,5738,8,3.100000000000325e-05,0
0,2,60,11779,0,0.041812000000000016,0
1,2,58,5739,0,0.02066099999999993,0
1,2,58,5739,8,2.6000000000081513e-05,0
1,2,78,2870,11,4.000000000004e-06,0
1,2,78,38202,11,0.0039839999999999876,1
0,2,78,38658,11,0.03949999999999998,0
0,2,60,11780,0,1.2000000000012001e-05,0
1,2,58,5740,0,0.01897799999999994,0
1,2,58,5740,8,2.9000000000056758e-05,0
0,2,60,11781,0,0.04482200000000003,0
1,2,58,5741,0,0.01765299999999992,0
1,2,58,5741,8,2.9000000000056758e-05,0
1,2,78,2871,11,4.000000000004e-06,0
1,2,78,38203,11,0.028966999999999965,1
0,2,78,38659,11,0.009654000000000051,0
0,2,60,11782,0,3.799999999998249e-05,0
1,2,58,5742,0,0.023812999999999973,0
1,2,58,5742,8,3.2000000000032e-05,0
0,2,60,11783,0,0.039887999999999924,0
1,2,58,5743,0,0.022585000000000077,0
1,2,58,5743,8,2.599999999997049e-05,0
1,2,78,2872,11,2.9999999999752447e-06,0
0,2,78,38660,11,0.04150100000000001,0
0,2,60,11784,0,3.799999999998249e-05,0
1,2,78,38204,11,0.007591000000000014,1
1,2,58,5744,0,0.013345000000000051,0
1,2,58,5744,8,2.599999999997049e-05,0
0,2,60,11785,0,0.042876000000000025,0
1,2,58,5745,0,0.01960200000000001,0
