Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,2,60,59311,0,0.0,0
1,2,58,63746,1,0.009146,0
0,2,68,63746,9,0.00020500000000000032,0
0,2,78,62424,11,0.054472000000000007,0
0,2,60,59312,0,2.999999999998837e-05,0
1,2,58,63747,1,0.026050000000000004,0
0,2,68,63747,9,0.0001850000000000046,0
0,2,60,59313,0,0.029886999999999997,0
1,2,58,63748,1,0.062614,0
0,2,68,63748,9,0.00018699999999999273,0
0,2,78,62425,11,0.0012640000000000151,0
0,2,60,59314,0,3.100000000000325e-05,0
1,2,58,63749,1,0.00569699999999998,0
0,2,68,63749,9,0.00018400000000001748,0
0,2,60,59315,0,0.05804699999999999,0
1,2,58,63750,1,0.060945,0
0,2,68,63750,9,0.00023499999999998522,0
0,2,78,62426,11,0.0028819999999999957,0
0,2,60,59316,0,3.100000000000325e-05,0
1,2,58,63751,1,0.031974,0
0,2,68,63751,9,0.00018400000000001748,0
0,2,60,59317,0,0.03172799999999998,0
1,2,58,63752,1,0.030592000000000008,0
0,2,68,63752,9,0.00023300000000003873,0
0,2,78,62427,11,0.025263999999999953,0
0,2,60,59318,0,3.100000000000325e-05,0
1,2,58,63753,1,0.06292000000000003,0
0,2,68,63753,9,0.00022400000000000198,0
0,2,60,59319,0,0.0006899999999999684,0
0,2,78,62428,11,0.06415200000000004,0
0,2,60,59320,0,2.599999999997049e-05,0
1,2,58,63754,1,0.01445200000000002,0
0,2,68,63754,9,0.00021599999999999397,0
0,2,60,59321,0,0.049143999999999965,0
1,2,58,63755,1,0.063662,0
0,2,68,63755,9,0.000288000000000066,0
0,2,78,62429,11,0.0007340000000000124,0
0,2,60,59322,0,4.099999999995774e-05,0
0,2,60,59323,0,0.05560799999999999,0
1,2,58,63756,1,0.03170899999999999,0
0,2,68,63756,9,0.0002990000000000492,0
1,2,58,63757,1,0.02729300000000001,0
0,2,68,63757,9,0.0002129999999999077,0
0,2,78,62430,11,0.0049720000000000875,0
0,2,60,59324,0,5.499999999991623e-05,0
0,2,60,59325,0,0.06347000000000003,0
1,2,58,63758,1,0.049595000000000056,0
0,2,68,63758,9,0.00019599999999997397,0
0,2,78,62431,11,0.01469699999999996,0
0,2,60,59326,0,5.3999999999998494e-05,0
0,2,60,59327,0,0.06317899999999999,0
1,2,58,63759,1,0.036197000000000035,0
0,2,68,63759,9,0.00020200000000003548,0
0,2,78,62432,11,0.02756500000000006,0
0,2,60,59328,0,2.4999999999941735e-05,0
1,2,58,63760,1,0.04796099999999992,0
0,2,68,63760,9,0.00024000000000001798,0
0,2,60,59329,0,0.007778000000000063,0
1,2,58,63761,1,0.021935000000000038,0
0,2,68,63761,9,0.00019700000000000273,0
1,2,58,63762,1,0.021134999999999904,0
0,2,68,63762,9,0.00016799999999994597,0
1,2,58,63763,1,0.012349000000000165,0
0,2,68,63763,9,0.0002389999999998782,0
0,2,78,62433,11,0.008153000000000077,0
0,2,60,59330,0,2.999999999997449e-05,0
1,2,58,63764,1,0.050688000000000066,0
0,2,68,63764,9,0.00023200000000000998,0
0,2,60,59331,0,0.01284699999999983,0
1,2,58,63765,1,0.061741999999999964,0
0,2,68,63765,9,0.00019900000000006024,0
0,2,78,62434,11,0.0021649999999999725,0
0,2,60,59332,0,2.999999999997449e-05,0
1,2,58,63766,1,0.00886700000000018,0
0,2,68,63766,9,0.00017099999999992122,0
1,2,58,63767,1,0.0304009999999999,0
0,2,68,63767,9,0.0002060000000001505,0
0,2,60,59333,0,0.024243000000000015,0
1,2,58,63768,1,0.042006999999999906,0
0,2,68,63768,9,0.00014700000000011926,0
0,2,78,62435,11,0.013985999999999832,0
0,2,60,59334,0,2.999999999997449e-05,0
1,2,58,63769,1,0.006517000000000106,0
0,2,68,63769,9,0.00019900000000006024,0
1,2,58,63770,1,0.001811000000000007,0
0,2,68,63770,9,0.0001989999999998382,0
1,2,58,63771,1,0.01465200000000011,0
0,2,68,63771,9,0.00015399999999998748,0
0,2,60,59335,0,0.04036799999999996,0
1,2,58,63772,1,0.03233900000000012,0
0,2,68,63772,9,0.0002229999999998622,0
0,2,78,62436,11,0.031689999999999996,0
0,2,60,59336,0,3.700000000006476e-05,0
1,2,58,63773,1,0.006208999999999909,0
0,2,68,63773,9,0.00021599999999999397,0
1,2,58,63774,1,0.036085000000000145,0
0,2,68,63774,9,0.0002309999999998702,0
0,2,60,59337,0,0.02097300000000013,0
1,2,58,63775,1,0.04508000000000001,0
0,2,68,63775,9,0.00019999999999997797,0
0,2,78,62437,11,0.018826999999999927,0
0,2,60,59338,0,3.799999999998249e-05,0
1,2,58,63776,1,0.012822000000000111,0
0,2,68,63776,9,0.00019799999999992046,0
0,2,60,59339,0,0.042896000000000045,0
1,2,58,63777,1,0.01120499999999991,0
0,2,68,63777,9,0.00019999999999997797,0
0,2,78,62438,11,0.052711000000000174,0
0,2,60,59340,0,2.4999999999941735e-05,0
0,2,60,59341,0,0.06397600000000003,0
1,2,58,63778,1,0.003346999999999989,0
0,2,68,63778,9,0.00023599999999990295,0
0,2,78,62439,11,0.06041699999999994,0
0,2,60,59342,0,2.4000000000024002e-05,0
1,2,58,63779,1,0.021209000000000033,0
0,2,68,63779,9,0.0002340000000000675,0
1,2,58,63780,1,0.02472199999999991,0
0,2,68,63780,9,0.00017299999999997873,0
0,2,60,59343,0,0.017470000000000097,0
1,2,58,63781,1,0.05355899999999991,0
0,2,68,63781,9,0.00019999999999997797,0
0,2,78,62440,11,0.010127999999999915,0
0,2,60,59344,0,2.6000000000081513e-05,0
1,2,58,63782,1,0.0160370000000003,0
0,2,68,63782,9,0.00018999999999991246,0
0,2,60,59345,0,0.03988199999999997,0
1,2,58,63783,1,0.00812299999999988,0
0,2,68,63783,9,0.00018500000000010175,0
0,2,78,62441,11,0.05588900000000008,0
0,2,60,59346,0,3.5999999999702936e-05,0
1,2,58,63784,1,0.0002300000000001745,0
0,2,68,63784,9,0.00016999999999978144,0
1,2,58,63785,1,0.0605380000000002,0
0,2,68,63785,9,0.00022099999999980469,0
0,2,60,59347,0,0.002555000000000085,0
0,2,78,62442,11,0.06422700000000026,0
0,2,60,59348,0,3.799999999998249e-05,0
1,2,58,63786,1,0.04839899999999986,0
0,2,68,63786,9,0.0001980000000001425,0
1,2,58,63787,1,0.010323000000000082,0
0,2,68,63787,9,0.0002459999999997464,0
1,2,58,63788,1,0.0014479999999998938,0
0,2,68,63788,9,0.0002569999999999517,0
0,2,60,59349,0,0.0028650000000003395,0
1,2,58,63789,1,0.004148999999999958,0
0,2,68,63789,9,0.00020100000000011775,0
1,2,58,63790,1,0.04088799999999981,0
0,2,68,63790,9,0.00015700000000018477,0
0,2,78,62443,11,0.010748999999999675,0
0,2,60,59350,0,3.0999999999892225e-05,0
1,2,58,63791,1,0.05720500000000017,0
0,2,68,63791,9,0.00022199999999994446,0
0,2,60,59351,0,0.006610000000000227,0
0,2,78,62444,11,0.0642879999999999,0
0,2,60,59352,0,4.2999999999793204e-05,0
1,2,58,63792,1,0.00766100000000014,0
0,2,68,63792,9,0.00016499999999997073,0
1,2,58,63793,1,0.04261999999999988,0
0,2,68,63793,9,0.00021899999999996922,0
0,2,60,59353,0,0.012947000000000042,0
1,2,58,63794,1,0.013511000000000273,0
0,2,68,63794,9,0.00019799999999969842,0
0,2,78,62445,11,0.050664000000000264,0
0,2,60,59354,0,4.2000000000097515e-05,0
0,2,60,59355,0,0.05561499999999997,0
1,2,58,63795,1,0.0017799999999996707,0
0,2,68,63795,9,0.00018500000000010175,0
0,2,78,62446,11,0.062364000000000086,0
0,2,60,59356,0,4.2000000000097515e-05,0
1,2,58,63796,1,0.00037799999999998946,0
0,2,68,63796,9,0.00021599999999999397,0
1,2,58,63797,1,0.026793000000000067,0
0,2,68,63797,9,0.0002199999999996649,0
0,2,60,59357,0,0.03601200000000038,0
0,2,78,62447,11,0.0639949999999998,0
0,2,60,59358,0,2.199999999996649e-05,0
1,2,58,63798,1,0.010464999999999947,0
0,2,68,63798,9,0.00028700000000014825,0
1,2,58,63799,1,0.02197199999999988,0
0,2,68,63799,9,0.00022799999999989495,0
0,2,60,59359,0,0.030889000000000166,0
0,2,78,62448,11,0.06392400000000009,0
0,2,60,59360,0,3.0999999999892225e-05,0
1,2,58,63800,1,0.005869000000000124,0
0,2,68,63800,9,0.000172000000000061,0
1,2,58,63801,1,0.010634999999999728,0
0,2,68,63801,9,0.00019600000000030704,0
1,2,58,63802,1,0.0006929999999996106,0
0,2,68,63802,9,0.0001500000000000945,0
1,2,58,63803,1,0.006793000000000049,0
0,2,68,63803,9,0.00019700000000000273,0
0,2,60,59361,0,0.031334000000000195,0
1,2,58,63804,1,0.005659000000000081,0
0,2,68,63804,9,0.00016399999999983095,0
0,2,78,62449,11,0.0582729999999998,0
0,2,60,59362,0,3.0000000000196536e-05,0
1,2,58,63805,1,0.04311899999999991,0
0,2,68,63805,9,0.00020599999999992846,0
0,2,60,59363,0,0.020554000000000183,0
0,2,78,62450,11,0.0641449999999999,0
0,2,60,59364,0,2.9000000000056758e-05,0
1,2,58,63806,1,0.0085869999999999,0
0,2,68,63806,9,0.00019599999999986295,0
0,2,60,59365,0,0.055065000000000364,0
0,2,78,62451,11,0.05612899999999987,0
0,2,60,59366,0,3.0000000000196536e-05,0
1,2,58,63807,1,0.004413999999999696,0
0,2,68,63807,9,0.00024000000000024002,0
1,2,58,63808,1,0.05263599999999968,0
0,2,68,63808,9,0.0001930000000003318,0
1,2,58,63809,1,0.0011529999999999596,0
0,2,68,63809,9,0.00019400000000002748,0
0,2,60,59367,0,0.004958999999999936,0
0,2,78,62452,11,0.06413000000000002,0
0,2,60,59368,0,3.0999999999892225e-05,0
1,2,58,63810,1,0.01632699999999998,0
0,2,68,63810,9,0.00020100000000011775,0
1,2,58,63811,1,0.042225999999999875,0
0,2,68,63811,9,0.00018900000000021677,0
0,2,60,59369,0,0.004910999999999888,0
1,2,58,63812,1,0.023679000000000006,0
0,2,68,63812,9,0.00019599999999986295,0
0,2,78,62453,11,0.04028100000000023,0
0,2,60,59370,0,3.2000000000032e-05,0
1,2,58,63813,1,0.047564999999999635,0
0,2,68,63813,9,0.00017300000000020077,0
0,2,60,59371,0,0.008099999999999774,0
0,2,78,62454,11,0.06415900000000008,0
0,2,60,59372,0,2.4000000000246047e-05,0
1,2,58,63814,1,0.02645900000000001,0
0,2,68,63814,9,0.00020499999999978868,0
1,2,58,63815,1,0.022710000000000008,0
0,2,68,63815,9,0.00018900000000021677,0
0,2,60,59373,0,0.01421899999999976,0
0,2,78,62455,11,0.06419200000000025,0
0,2,60,59374,0,2.6999999999777202e-05,0
1,2,58,63816,1,0.0035799999999999166,0
0,2,68,63816,9,0.00019900000000028228,0
0,2,60,59375,0,0.06000799999999984,0
1,2,58,63817,1,0.02567400000000042,0
0,2,68,63817,9,0.00021099999999929508,0
1,2,58,63818,1,0.006568000000000573,0
0,2,68,63818,9,0.0001939999999995834,0
0,2,78,62456,11,0.02349599999999974,0
0,2,60,59376,0,3.0000000000640625e-05,0
1,2,58,63819,1,0.004256999999999955,0
0,2,68,63819,9,0.00021399999999971442,0
0,2,60,59377,0,0.05938399999999966,0
1,2,58,63820,1,0.05104400000000009,0
0,2,68,63820,9,0.00022700000000064335,0
0,2,78,62457,11,0.012800999999999618,0
0,2,60,59378,0,2.9999999999752447e-05,0
1,2,58,63821,1,0.03717000000000059,0
0,2,68,63821,9,0.00016399999999983095,0
0,2,60,59379,0,0.026557999999999637,0
1,2,58,63822,1,0.01966100000000015,0
0,2,68,63822,9,0.0002149999999998542,0
0,2,78,62458,11,0.04426200000000069,0
0,2,60,59380,0,2.9999999999752447e-05,0
1,2,58,63823,1,0.016521000000000008,0
0,2,68,63823,9,0.00018099999999954264,0
0,2,60,59381,0,0.047134000000000675,0
1,2,58,63824,1,0.0060029999999997585,0
0,2,68,63824,9,0.00021700000000013375,0
