Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,2,78,63127,11,0.0,0
0,2,60,60718,0,3.8e-05,0
1,2,58,65186,1,0.008802,0
0,2,68,65186,9,0.00022799999999999904,0
0,2,60,60719,0,0.054527,0
1,2,58,65187,1,0.032449000000000006,0
0,2,68,65187,9,0.00021699999999999497,0
0,2,78,63128,11,0.03105300000000001,0
0,2,60,60720,0,4.099999999998549e-05,0
0,2,60,60721,0,0.056229,0
1,2,58,65188,1,0.030251,0
0,2,68,65188,9,0.0002650000000000152,0
0,2,78,63129,11,0.03378399999999998,0
0,2,60,60722,0,4.200000000001425e-05,0
1,2,58,65189,1,0.020530999999999994,0
0,2,68,65189,9,0.00016300000000002424,0
0,2,60,60723,0,0.042918999999999985,0
1,2,58,65190,1,0.01849200000000001,0
0,2,68,65190,9,0.00021099999999996122,0
0,2,78,63130,11,0.04567100000000002,0
0,2,60,60724,0,4.100000000001325e-05,0
1,2,58,65191,1,0.059504,0
0,2,68,65191,9,0.00022400000000000198,0
0,2,60,60725,0,0.003909999999999969,0
1,2,58,65192,1,0.009367000000000014,0
0,2,68,65192,9,0.00021799999999999597,0
0,2,78,63131,11,0.046736,0
0,2,60,60726,0,4.199999999998649e-05,0
1,2,58,65193,1,0.023115000000000052,0
0,2,68,65193,9,0.00019599999999997397,0
1,2,58,65194,1,0.030406000000000044,0
0,2,68,65194,9,0.00023599999999990295,0
0,2,60,60727,0,0.009640000000000093,0
0,2,78,63132,11,0.06437199999999998,0
0,2,60,60728,0,4.099999999995774e-05,0
1,2,58,65195,1,0.04501200000000005,0
0,2,68,65195,9,0.0002209999999999157,0
0,2,60,60729,0,0.018392999999999993,0
1,2,58,65196,1,0.038118000000000096,0
0,2,68,65196,9,0.0002169999999999117,0
1,2,58,65197,1,0.00667300000000004,0
0,2,68,65197,9,0.00021599999999999397,0
0,2,78,63133,11,0.01911700000000005,0
0,2,60,60730,0,4.2999999999904226e-05,0
1,2,58,65198,1,0.04112600000000011,0
0,2,68,65198,9,0.00022699999999997722,0
0,2,60,60731,0,0.014228000000000018,0
1,2,58,65199,1,0.0033519999999999106,0
0,2,68,65199,9,0.00021700000000002273,0
1,2,58,65200,1,0.04978300000000002,0
0,2,68,65200,9,0.0002630000000000132,0
