Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,2,78,528,11,0.0,0
0,2,60,1056,0,3.8e-05,0
1,2,58,51678,1,0.0037240000000000003,0
0,2,68,51678,9,0.00020899999999999955,0
1,2,58,51679,1,0.009396999999999999,0
0,2,68,51679,9,0.000197000000000001,0
1,2,58,51680,1,0.009201999999999998,0
0,2,68,51680,9,0.0002380000000000021,0
0,2,60,1057,0,0.040584999999999996,0
0,2,78,529,11,0.06396400000000001,0
0,2,60,1058,0,2.4999999999997247e-05,0
1,2,58,51681,1,0.005674000000000012,0
0,2,68,51681,9,0.00018899999999999473,0
0,2,60,1059,0,0.05788399999999999,0
1,2,58,51682,1,0.055028999999999995,0
0,2,68,51682,9,0.00021700000000002273,0
0,2,78,530,11,0.009253000000000011,0
0,2,60,1060,0,4.199999999998649e-05,0
1,2,58,51683,1,0.052763000000000004,0
0,2,68,51683,9,0.00022699999999997722,0
0,2,60,1061,0,0.010460999999999998,0
1,2,58,51684,1,0.050012,0
0,2,68,51684,9,0.00020300000000000873,0
0,2,78,531,11,0.005925000000000014,0
0,2,60,1062,0,2.599999999997049e-05,0
1,2,58,51685,1,0.035694000000000004,0
0,2,68,51685,9,0.00022800000000000598,0
0,2,60,1063,0,0.02788099999999999,0
1,2,58,51686,1,0.009149000000000018,0
0,2,68,51686,9,0.00017499999999998073,0
0,2,78,532,11,0.05483499999999997,0
0,2,60,1064,0,2.6999999999999247e-05,0
0,2,60,1065,0,0.0638200000000001,0
1,2,58,51687,1,0.005826999999999916,0
0,2,68,51687,9,0.000192000000000081,0
1,2,58,51688,1,0.013067999999999969,0
0,2,68,51688,9,0.00020900000000001473,0
0,2,78,533,11,0.04481299999999999,0
0,2,60,1066,0,1.399999999995849e-05,0
1,2,58,51689,1,0.006924000000000041,0
0,2,68,51689,9,0.00020100000000000673,0
1,2,58,51690,1,0.02511399999999997,0
0,2,68,51690,9,0.00022200000000005549,0
1,2,58,51691,1,0.00668599999999997,0
0,2,68,51691,9,0.00017299999999997873,0
0,2,60,1067,0,0.016530000000000045,0
0,2,78,534,11,0.06418199999999996,0
0,2,60,1068,0,2.599999999997049e-05,0
1,2,58,51692,1,0.04028700000000007,0
0,2,68,51692,9,0.0002209999999999157,0
1,2,58,51693,1,0.007168000000000063,0
0,2,68,51693,9,0.00022199999999994446,0
0,2,60,1069,0,0.015929000000000082,0
1,2,58,51694,1,0.017826999999999926,0
0,2,68,51694,9,0.00021999999999999797,0
1,2,58,51695,1,0.027642000000000055,0
0,2,68,51695,9,0.0002169999999999117,0
0,2,78,535,11,0.018224000000000018,0
0,2,60,1070,0,2.6000000000081513e-05,0
