Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,2,78,29439,11,0.0,0
0,2,58,58733,0,0.04276466369628906,0
0,2,58,58733,8,4.8160552978515625e-05,0
0,2,58,58734,0,0.06245923042297363,0
0,2,58,58734,8,4.506111145019531e-05,0
0,2,78,29440,11,0.019687414169311523,0
0,2,58,58735,0,0.04277324676513672,0
0,2,58,58735,8,6.175041198730469e-05,0
0,2,58,58736,0,0.062445878982543945,0
0,2,58,58736,8,6.29425048828125e-05,0
0,2,78,29441,11,0.01966118812561035,0
0,2,58,58737,0,0.04278159141540527,0
0,2,58,58737,8,6.151199340820312e-05,0
1,2,60,19997,1,0.05058765411376953,0
0,2,68,19997,9,9.775161743164062e-06,0
0,2,58,58738,0,0.011845588684082031,0
0,2,58,58738,8,6.103515625e-05,0
0,2,78,29442,11,0.01965785026550293,0
0,2,58,58739,0,0.04278731346130371,0
0,2,58,58739,8,6.0558319091796875e-05,0
0,2,58,58740,0,0.06244611740112305,0
0,2,58,58740,8,6.222724914550781e-05,0
0,2,78,29443,11,0.01964879035949707,0
0,2,58,58741,0,0.042795419692993164,1
0,2,58,58741,8,6.151199340820312e-05,1
0,2,58,58742,0,0.062442779541015625,1
0,2,58,58742,8,6.079673767089844e-05,1
0,2,60,58742,0,0.013503789901733398,1
0,2,78,29444,11,0.006140232086181641,1
0,2,60,58742,8,0.0337224006652832,1
0,2,58,58743,0,0.009077072143554688,1
0,2,58,58743,8,6.29425048828125e-05,1
0,2,60,58742,0,0.03484845161437988,1
0,2,58,58744,0,0.02759385108947754,1
0,2,58,58744,8,6.246566772460938e-05,1
0,2,60,58742,8,0.004361152648925781,1
0,2,78,29445,11,0.015276193618774414,1
0,2,60,58743,0,0.016824722290039062,1
0,2,58,58745,0,0.025980710983276367,1
0,2,58,58745,8,6.461143493652344e-05,1
0,2,60,58743,8,0.005837202072143555,1
0,2,60,58742,0,0.03568720817565918,1
0,2,58,58746,0,0.020915985107421875,1
0,2,58,58746,8,6.29425048828125e-05,1
0,2,60,58744,0,0.015121936798095703,1
0,2,78,29446,11,0.004508495330810547,1
0,2,60,58744,8,0.0316929817199707,1
0,2,58,58747,0,0.011118173599243164,1
0,2,58,58747,8,6.008148193359375e-05,1
0,2,60,58742,8,0.020810604095458984,1
0,2,60,58743,0,0.03201913833618164,1
0,2,58,58748,0,0.00961446762084961,1
0,2,58,58748,8,6.151199340820312e-05,1
