Time,Source,Destination,Protocol,Length,SequenceID,MessageType
0.000000,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11771,0
0.024631,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5731,0
0.024662,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5731,8
0.024666,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2866,11
0.064142,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38654,11
0.064167,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11772,0
0.087135,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5732,0
0.087167,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5732,8
0.089690,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38199,11
0.128048,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11773,0
0.149640,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5733,0
0.149670,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5733,8
0.149674,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2867,11
0.192198,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38655,11
0.192235,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11774,0
0.212144,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5734,0
0.212173,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5734,8
0.230681,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38200,11
0.256009,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11775,0
0.274649,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5735,0
0.274676,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5735,8
0.274679,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2868,11
0.312175,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38656,11
0.312214,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11776,0
0.337153,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5736,0
0.337179,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5736,8
0.373690,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38201,11
0.376017,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11777,0
0.399658,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5737,0
0.399686,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5737,8
0.399689,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2869,11
0.440131,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38657,11
0.440143,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11778,0
0.462162,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5738,0
0.462193,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5738,8
0.504005,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11779,0
0.524666,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5739,0
0.524692,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5739,8
0.524696,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2870,11
0.528680,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38202,11
0.568180,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38658,11
0.568192,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11780,0
0.587170,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5740,0
0.587199,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5740,8
0.632021,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11781,0
0.649674,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5741,0
0.649703,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5741,8
0.649707,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2871,11
0.678674,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38203,11
0.688328,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38659,11
0.688366,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11782,0
0.712179,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5742,0
0.712211,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5742,8
0.752099,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11783,0
0.774684,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5743,0
0.774710,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5743,8
0.774713,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2872,11
0.816214,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38660,11
0.816252,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11784,0
0.823843,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38204,11
0.837188,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5744,0
0.837214,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5744,8
0.880090,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11785,0
0.899692,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5745,0
0.899724,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5745,8
0.899727,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2873,11
0.924267,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
0.944255,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38661,11
0.944291,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11786,0
0.962197,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5746,0
0.962229,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5746,8
0.971672,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38205,11
1.000010,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11787,0
1.024701,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5747,0
1.024724,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5747,8
1.024731,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2874,11
1.064319,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38662,11
1.064356,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11788,0
1.087205,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5748,0
1.087229,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5748,8
1.123669,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38206,11
1.128060,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11789,0
1.149710,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5749,0
1.149738,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5749,8
1.149742,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2875,11
1.192222,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38663,11
1.192260,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11790,0
1.212214,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5750,0
1.212240,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5750,8
1.256098,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11791,0
1.269680,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38207,11
1.274719,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5751,0
1.274748,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5751,8
1.274752,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2876,11
1.312368,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38664,11
1.312404,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11792,0
