"No.","Time","Source","Destination","Protocol","Length","Info"
"5","0.064142","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"9","0.089690","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"14","0.192198","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"18","0.230681","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"23","0.312175","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"27","0.373690","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"32","0.440131","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"40","0.528680","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"41","0.568180","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"49","0.678674","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"50","0.688328","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"58","0.816214","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"60","0.823843","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"68","0.944255","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"72","0.971672","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"77","1.064319","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"81","1.123669","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"86","1.192222","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"91","1.269680","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"95","1.312368","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"103","1.415672","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"104","1.440225","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"112","1.566694","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"113","1.568184","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"121","1.688151","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"125","1.713679","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"132","1.816165","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"136","1.856667","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"141","1.944502","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"146","2.011679","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"150","2.064531","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"158","2.155671","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"159","2.192095","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"167","2.307669","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"168","2.312104","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"176","2.440155","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"178","2.458675","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"185","2.568144","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"189","2.611672","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"194","2.688133","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"199","2.758664","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"204","2.816117","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"212","2.910678","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"214","2.944116","Dell_80:60:8a","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
