Time,Source,Destination,Protocol,Length,SequenceID,MessageType
0.000000,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11771,Sync
0.024631,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5731,Sync
0.024662,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5731,Follow_Up
0.024666,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2866,Announce
0.064142,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38654,Announce
0.064167,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11772,Sync
0.087135,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5732,Sync
0.087167,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5732,Follow_Up
0.089690,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38199,Announce
0.128048,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11773,Sync
0.149640,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5733,Sync
0.149670,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5733,Follow_Up
0.149674,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2867,Announce
0.192198,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38655,Announce
0.192235,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11774,Sync
0.212144,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5734,Sync
0.212173,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5734,Follow_Up
0.230681,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38200,Announce
0.256009,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11775,Sync
0.274649,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5735,Sync
0.274676,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5735,Follow_Up
0.274679,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2868,Announce
0.312175,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38656,Announce
0.312214,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11776,Sync
0.337153,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5736,Sync
0.337179,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5736,Follow_Up
0.373690,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,38201,Announce
0.376017,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11777,Sync
0.399658,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5737,Sync
0.399686,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,5737,Follow_Up
0.399689,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,2869,Announce
0.440131,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,38657,Announce
0.440143,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,11778,Sync
