Time,Source,Destination,Protocol,Length,SequenceID,MessageType
0.000000,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61577,Announce
0.000008,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,57618,Sync
0.007547,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63057,Delay_Req
0.007755,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63057,Delay_Resp
0.063871,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,57619,Sync
0.064462,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63058,Delay_Req
0.064655,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63058,Delay_Resp
0.082238,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63059,Delay_Req
0.082474,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63059,Delay_Resp
0.128032,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61578,Announce
0.128045,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,57620,Sync
0.156316,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63060,Delay_Req
0.156531,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63060,Delay_Resp
0.189887,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
0.191702,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
0.191904,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,57621,Sync
0.191955,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
0.204309,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63061,Delay_Req
0.204518,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63061,Delay_Resp
0.248022,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61579,Announce
0.248036,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,57622,Sync
0.252095,b8:ce:f6:5e:6a:fa,ff:ff:ff:ff:ff:ff,-,334,-,-
0.311920,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,57623,Sync
0.323958,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63062,Delay_Req
