Time,Source,Destination,Protocol,Length,SequenceID,MessageType
0.000000,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59311,Sync
0.009146,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63746,Delay_Req
0.009351,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63746,Delay_Resp
0.063823,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62424,Announce
0.063853,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59312,Sync
0.089903,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63747,Delay_Req
0.090088,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63747,Delay_Resp
0.119975,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59313,Sync
0.182589,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63748,Delay_Req
0.182776,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63748,Delay_Resp
0.184040,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62425,Announce
0.184071,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59314,Sync
0.189768,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63749,Delay_Req
0.189952,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63749,Delay_Resp
0.247999,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59315,Sync
0.308944,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63750,Delay_Req
0.309179,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63750,Delay_Resp
0.312061,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62426,Announce
0.312092,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59316,Sync
0.344066,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63751,Delay_Req
0.344250,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63751,Delay_Resp
0.375978,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59317,Sync
0.406570,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63752,Delay_Req
0.406803,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63752,Delay_Resp
0.432067,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62427,Announce
0.432098,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59318,Sync
0.495018,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63753,Delay_Req
0.495242,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63753,Delay_Resp
0.495932,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59319,Sync
0.560084,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62428,Announce
0.560110,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59320,Sync
0.574562,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63754,Delay_Req
0.574778,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63754,Delay_Resp
0.623922,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59321,Sync
0.687584,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63755,Delay_Req
0.687872,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63755,Delay_Resp
0.688606,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62429,Announce
0.688647,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59322,Sync
0.744255,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59323,Sync
0.775964,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63756,Delay_Req
0.776263,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63756,Delay_Resp
0.778559,c4:5a:b1:80:61:8a,33:33:ff:00:00:00,-,90,-,-
0.780228,c4:5a:b1:3a:1b:a6,33:33:ff:00:00:00,-,90,-,-
0.803556,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,63757,Delay_Req
0.803769,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,63757,Delay_Resp
0.808741,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62430,Announce
0.808796,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59324,Sync
0.872266,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59325,Sync
