Time,Source,Destination,Protocol,Length,SequenceID,MessageType
0.000000,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63127,Announce
0.000038,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60718,Sync
0.008840,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65186,Delay_Req
0.009068,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65186,Delay_Resp
0.063595,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60719,Sync
0.096044,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65187,Delay_Req
0.096261,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65187,Delay_Resp
0.127314,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63128,Announce
0.127355,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60720,Sync
0.183584,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60721,Sync
0.213835,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65188,Delay_Req
0.214100,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65188,Delay_Resp
0.247884,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63129,Announce
0.247926,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60722,Sync
0.268457,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65189,Delay_Req
0.268620,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65189,Delay_Resp
0.311539,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60723,Sync
0.330031,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65190,Delay_Req
0.330242,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65190,Delay_Resp
0.375913,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63130,Announce
0.375954,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60724,Sync
0.435458,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65191,Delay_Req
0.435682,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65191,Delay_Resp
0.439592,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60725,Sync
0.448959,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65192,Delay_Req
0.449177,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65192,Delay_Resp
0.495913,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63131,Announce
0.495955,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60726,Sync
0.519070,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65193,Delay_Req
0.519266,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65193,Delay_Resp
0.549672,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65194,Delay_Req
0.549908,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65194,Delay_Resp
0.559548,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60727,Sync
0.623920,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63132,Announce
0.623961,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60728,Sync
0.668973,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65195,Delay_Req
0.669194,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65195,Delay_Resp
0.687587,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60729,Sync
0.725705,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65196,Delay_Req
0.725922,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65196,Delay_Resp
0.732595,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65197,Delay_Req
0.732811,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65197,Delay_Resp
0.751928,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63133,Announce
0.751971,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60730,Sync
0.793097,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65198,Delay_Req
0.793324,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65198,Delay_Resp
0.807552,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60731,Sync
0.810904,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65199,Delay_Req
0.811121,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65199,Delay_Resp
0.860904,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65200,Delay_Req
0.861167,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65200,Delay_Resp
0.871995,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63134,Announce
0.872036,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60732,Sync
0.921352,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65201,Delay_Req
0.921584,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65201,Delay_Resp
0.935402,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60733,Sync
0.999519,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63135,Announce
0.999550,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60734,Sync
1.045894,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65202,Delay_Req
1.046167,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65202,Delay_Resp
1.063422,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60735,Sync
1.064674,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65203,Delay_Req
1.064866,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65203,Delay_Resp
1.127862,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63136,Announce
1.127904,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60736,Sync
1.138665,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65204,Delay_Req
1.138830,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65204,Delay_Resp
1.183601,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60737,Sync
1.243325,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65205,Delay_Req
1.243549,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65205,Delay_Resp
1.247937,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63137,Announce
1.247979,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60738,Sync
1.311462,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60739,Sync
1.349427,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65206,Delay_Req
1.349588,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65206,Delay_Resp
1.361432,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65207,Delay_Req
1.361591,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65207,Delay_Resp
1.375586,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63138,Announce
1.375609,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60740,Sync
1.429731,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65208,Delay_Req
1.429965,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65208,Delay_Resp
1.439429,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60741,Sync
1.467810,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65209,Delay_Req
1.468050,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65209,Delay_Resp
1.495541,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63139,Announce
1.495572,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60742,Sync
1.545976,c4:5a:b1:80:61:8a,33:33:ff:00:00:00,-,90,-,-
1.547548,c4:5a:b1:3a:1b:a6,33:33:ff:00:00:00,-,90,-,-
1.559373,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60743,Sync
1.584026,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
1.587069,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
1.587433,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
1.590723,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65210,Delay_Req
1.590936,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65210,Delay_Resp
1.623512,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63140,Announce
1.623542,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60744,Sync
1.687477,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60745,Sync
1.690367,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65211,Delay_Req
1.690620,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65211,Delay_Resp
1.751774,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63141,Announce
1.751811,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60746,Sync
1.788123,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65212,Delay_Req
1.788285,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65212,Delay_Resp
1.807532,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60747,Sync
1.836562,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65213,Delay_Req
1.836767,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65213,Delay_Resp
1.871721,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63142,Announce
1.871757,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60748,Sync
1.922210,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65214,Delay_Req
1.922449,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65214,Delay_Resp
1.935524,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60749,Sync
1.964943,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65215,Delay_Req
1.965108,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,65215,Delay_Resp
2.000295,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63143,Announce
2.000347,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60750,Sync
2.025803,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,65216,Delay_Req
