Time,Source,Destination,Protocol,Length,SequenceID,MessageType
0.000000,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,528,11
0.000038,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,1056,0
0.003762,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,51678,1
0.003971,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,51678,9
0.013368,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,51679,1
0.013565,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,51679,9
0.022767,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,51680,1
0.023005,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,51680,9
0.063590,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,1057,0
0.117331,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
0.127554,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,529,11
0.127579,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,1058,0
0.133253,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,51681,1
0.133442,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,51681,9
0.191326,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,1059,0
0.246355,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,51682,1
0.246572,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,51682,9
0.255825,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,530,11
0.255867,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,1060,0
0.308630,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,51683,1
0.308857,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,51683,9
0.319318,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,1061,0
0.369330,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,51684,1
0.369533,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,51684,9
0.375458,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,531,11
0.375484,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,1062,0
0.411178,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,51685,1
0.411406,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,51685,9
0.439287,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,1063,0
