"No.","Time","Source","Destination","Protocol","Length","Info"
"6","0.044319","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"15","0.181311","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"26","0.318314","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"36","0.455310","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"47","0.596315","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"56","0.734310","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"65","0.871312","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"77","1.008316","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"86","1.145313","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"99","1.283331","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"108","1.424317","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"117","1.567318","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"127","1.708313","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"138","1.848315","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"148","1.986316","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"159","2.131323","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"169","2.271324","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"182","2.411315","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"191","2.559322","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"201","2.698311","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"214","2.840317","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"223","2.978320","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"233","3.120318","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"244","3.257332","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"253","3.399317","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"265","3.540441","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"274","3.680316","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"284","3.819314","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"294","3.960313","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"305","4.099313","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"315","4.238309","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"327","4.377313","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"336","4.516320","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"348","4.658317","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"357","4.796368","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"367","4.939313","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"377","5.078318","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"389","5.216311","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"398","5.355316","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"407","5.493319","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"418","5.631315","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"427","5.770315","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"439","5.908310","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"449","6.046323","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"458","6.187309","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"469","6.327313","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"481","6.466322","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"490","6.609313","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"499","6.746317","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"510","6.883312","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"520","7.020319","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"532","7.159317","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"541","7.299325","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"551","7.441316","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"560","7.579319","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"571","7.717312","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"580","7.856323","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"590","7.997318","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"601","8.140324","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"613","8.277443","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
"623","8.417313","MellanoxTech_5e:6a:fa","IEEEI&MSocie_00:00:00","PTPv2","78","Announce Message"
