Time,Source,Destination,Protocol,Length,SequenceID,MessageType
0.000000,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19114,1
0.000227,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19114,9
0.008954,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43810,11
0.008973,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22057,0
0.027084,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19115,1
0.027289,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19115,9
0.072926,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22058,0
0.136951,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43811,11
0.136970,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22059,0
0.150002,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19116,1
0.150204,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19116,9
0.163517,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19117,1
0.163727,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19117,9
0.176037,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19118,1
0.176221,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19118,9
0.192939,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22060,0
0.240636,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19119,1
0.240857,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19119,9
0.256933,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43812,11
0.256985,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22061,0
0.285966,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19120,1
0.286174,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19120,9
0.304571,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19121,1
0.304767,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19121,9
0.320934,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22062,0
0.369685,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19122,1
0.369715,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19123,1
0.369873,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19122,9
0.369928,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19123,9
0.384927,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43813,11
0.384981,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22063,0
0.448937,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22064,0
0.480125,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19124,1
0.480304,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19124,9
0.481528,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19125,1
0.481710,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19125,9
0.512904,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43814,11
0.512952,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22065,0
0.568939,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22066,0
0.584648,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19126,1
0.584910,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19126,9
0.632933,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43815,11
0.632987,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22067,0
0.693325,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19127,1
0.693547,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19127,9
0.696930,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22068,0
0.733082,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19128,1
0.733322,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19128,9
0.744588,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19129,1
0.744821,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19129,9
0.760891,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43816,11
0.760941,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22069,0
0.824912,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22070,0
0.829007,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19130,1
0.829254,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19130,9
0.880938,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43817,11
0.880990,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22071,0
0.918378,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19131,1
0.918654,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19131,9
0.944939,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22072,0
0.949419,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19132,1
0.949612,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19132,9
0.985411,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19133,1
0.985650,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19133,9
1.004492,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19134,1
1.004755,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19134,9
1.008913,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43818,11
1.008934,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22073,0
1.072971,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22074,0
1.119536,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19135,1
1.119742,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19135,9
1.136935,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43819,11
1.136954,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22075,0
1.188575,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19136,1
1.188837,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19136,9
1.192976,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22076,0
1.238819,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19137,1
1.239143,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19137,9
1.256938,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43820,11
1.256957,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22077,0
1.305767,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19138,1
1.306007,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19138,9
1.320943,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22078,0
1.369523,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19139,1
1.369759,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19139,9
1.384941,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43821,11
1.384994,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22079,0
1.448940,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22080,0
1.449008,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19140,1
1.449199,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19140,9
1.504963,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43822,11
1.505018,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22081,0
1.558086,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19141,1
1.558336,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19141,9
