Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,2,58,19114,1,0,0
1,2,68,19114,9,0.000227,0
1,2,78,43810,11,0.008727,0
1,2,60,22057,0,1.90E-05,0
0,2,58,19115,1,0.018111,0
1,2,68,19115,9,0.000205,0
1,2,60,22058,0,0.045637,0
1,2,78,43811,11,0.064025,0
1,2,60,22059,0,1.90E-05,0
0,2,58,19116,1,0.013032,0
1,2,68,19116,9,0.000202,0
0,2,58,19117,1,0.013313,0
1,2,68,19117,9,0.00021,0
0,2,58,19118,1,0.01231,0
1,2,68,19118,9,0.000184,0
1,2,60,22060,0,0.016718,0
0,2,58,19119,1,0.047697,0
1,2,68,19119,9,0.000221,0
1,2,78,43812,11,0.016076,0
1,2,60,22061,0,5.20E-05,0
0,2,58,19120,1,0.028981,0
1,2,68,19120,9,0.000208,0
0,2,58,19121,1,0.018397,0
1,2,68,19121,9,0.000196,0
1,2,60,22062,0,0.016167,0
0,2,58,19122,1,0.048751,0
0,2,58,19123,1,3.00E-05,0
1,2,68,19122,9,0.000158,0
1,2,68,19123,9,5.50E-05,0
1,2,78,43813,11,0.014999,0
1,2,60,22063,0,5.40E-05,0
1,2,60,22064,0,0.063956,0
0,2,58,19124,1,0.031188,0
1,2,68,19124,9,0.000179,0
0,2,58,19125,1,0.001224,0
1,2,68,19125,9,0.000182,0
1,2,78,43814,11,0.031194,0
1,2,60,22065,0,4.80E-05,0
1,2,60,22066,0,0.055987,0
0,2,58,19126,1,0.015709,0
1,2,68,19126,9,0.000262,0
1,2,78,43815,11,0.048023,0
1,2,60,22067,0,5.40E-05,0
0,2,58,19127,1,0.060338,0
1,2,68,19127,9,0.000222,0
1,2,60,22068,0,0.003383,0
0,2,58,19128,1,0.036152,0
1,2,68,19128,9,0.00024,0
0,2,58,19129,1,0.011266,0
1,2,68,19129,9,0.000233,0
1,2,78,43816,11,0.01607,0
1,2,60,22069,0,5.00E-05,0
1,2,60,22070,0,0.063971,0
0,2,58,19130,1,0.004095,0
1,2,68,19130,9,0.000247,0
1,2,78,43817,11,0.051684,0
1,2,60,22071,0,5.20E-05,0
0,2,58,19131,1,0.037388,0
1,2,68,19131,9,0.000276,0
1,2,60,22072,0,0.026285,0
0,2,58,19132,1,0.00448,0
1,2,68,19132,9,0.000193,0
0,2,58,19133,1,0.035799,0
1,2,68,19133,9,0.000239,0
0,2,58,19134,1,0.018842,0
1,2,68,19134,9,0.000263,0
1,2,78,43818,11,0.004158,0
1,2,60,22073,0,2.10E-05,0
1,2,60,22074,0,0.064037,0
0,2,58,19135,1,0.046565,0
1,2,68,19135,9,0.000206,0
1,2,78,43819,11,0.017193,0
1,2,60,22075,0,1.90E-05,0
0,2,58,19136,1,0.051621,0
1,2,68,19136,9,0.000262,0
1,2,60,22076,0,0.004139,0
0,2,58,19137,1,0.045843,0
1,2,68,19137,9,0.000324,0
1,2,78,43820,11,0.017795,0
1,2,60,22077,0,1.90E-05,0
