Source,Destination,Length,SequenceID,MessageType,Label
0,2,58,19114,1,0
1,2,68,19114,9,0
1,2,78,43810,11,0
1,2,60,22057,0,0
0,2,58,19115,1,0
1,2,68,19115,9,0
1,2,60,22058,0,0
1,2,78,43811,11,0
1,2,60,22059,0,0
0,2,58,19116,1,0
1,2,68,19116,9,0
0,2,58,19117,1,0
1,2,68,19117,9,0
0,2,58,19118,1,0
1,2,68,19118,9,0
1,2,60,22060,0,0
0,2,58,19119,1,0
1,2,68,19119,9,0
1,2,78,43812,11,0
1,2,60,22061,0,0
0,2,58,19120,1,0
1,2,68,19120,9,0
0,2,58,19121,1,0
1,2,68,19121,9,0
1,2,60,22062,0,0
0,2,58,19122,1,0
0,2,58,19123,1,0
1,2,68,19122,9,0
1,2,68,19123,9,0
1,2,78,43813,11,0
1,2,60,22063,0,0
1,2,60,22064,0,0
0,2,58,19124,1,0
1,2,68,19124,9,0
0,2,58,19125,1,0
1,2,68,19125,9,0
1,2,78,43814,11,0
1,2,60,22065,0,0
1,2,60,22066,0,0
0,2,58,19126,1,0
1,2,68,19126,9,0
1,2,78,43815,11,0
1,2,60,22067,0,0
0,2,58,19127,1,0
1,2,68,19127,9,0
1,2,60,22068,0,0
0,2,58,19128,1,0
1,2,68,19128,9,0
0,2,58,19129,1,0
1,2,68,19129,9,0
1,2,78,43816,11,0
1,2,60,22069,0,0
1,2,60,22070,0,0
0,2,58,19130,1,0
1,2,68,19130,9,0
1,2,78,43817,11,0
1,2,60,22071,0,0
0,2,58,19131,1,0
1,2,68,19131,9,0
1,2,60,22072,0,0
0,2,58,19132,1,0
1,2,68,19132,9,0
0,2,58,19133,1,0
1,2,68,19133,9,0
0,2,58,19134,1,0
1,2,68,19134,9,0
1,2,78,43818,11,0
1,2,60,22073,0,0
1,2,60,22074,0,0
0,2,58,19135,1,0
1,2,68,19135,9,0
1,2,78,43819,11,0
1,2,60,22075,0,0
0,2,58,19136,1,0
1,2,68,19136,9,0
1,2,60,22076,0,0
0,2,58,19137,1,0
1,2,68,19137,9,0
1,2,78,43820,11,0
1,2,60,22077,0,0
0,2,58,19138,1,0
1,2,68,19138,9,0
1,2,60,22078,0,0
0,2,58,19139,1,0
1,2,68,19139,9,0
1,2,78,43821,11,0
1,2,60,22079,0,0
1,2,60,22080,0,0
0,2,58,19140,1,0
1,2,68,19140,9,0
1,2,78,43822,11,0
1,2,60,22081,0,0
0,2,58,19141,1,0
1,2,68,19141,9,0
1,2,60,22082,0,0
1,2,78,43823,11,0
1,2,60,22083,0,0
0,2,58,19142,1,0
1,2,68,19142,9,0
0,2,58,19143,1,0
1,2,68,19143,9,0
1,2,60,22084,0,0
1,2,78,43824,11,0
1,2,60,22085,0,0
0,2,58,19144,1,0
1,2,68,19144,9,0
0,2,58,19145,1,0
1,2,68,19145,9,0
1,2,60,22086,0,0
1,2,78,43825,11,0
1,2,60,22087,0,0
0,2,58,19146,1,0
1,2,68,19146,9,0
0,2,58,19147,1,0
1,2,68,19147,9,0
1,2,60,22088,0,0
0,2,58,19148,1,0
1,2,68,19148,9,0
1,2,78,43826,11,0
1,2,60,22089,0,0
0,2,58,19149,1,0
1,2,68,19149,9,0
1,2,60,22090,0,0
0,2,58,19150,1,0
1,2,68,19150,9,0
1,2,78,43827,11,0
1,2,60,22091,0,0
1,2,60,22092,0,0
0,2,58,19151,1,0
1,2,68,19151,9,0
0,2,58,19152,1,0
1,2,68,19152,9,0
0,2,58,19153,1,0
1,2,68,19153,9,0
0,2,58,19154,1,0
1,2,68,19154,9,0
0,2,58,19155,1,0
1,2,68,19155,9,0
1,2,78,43828,11,0
1,2,60,22093,0,0
1,2,60,22094,0,0
0,2,58,19156,1,0
1,2,68,19156,9,0
1,2,78,43829,11,0
1,2,60,22095,0,0
1,2,60,22096,0,0
0,2,58,19157,1,0
1,2,68,19157,9,0
