Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,3,58,22439,0,0.0,0
0,3,58,22439,8,1.5e-05,0
0,3,78,11294,11,0.0025840000000000004,0
0,3,58,22440,0,0.059953,0
0,3,58,22440,8,1.4000000000000123e-05,0
0,3,58,22441,0,0.062538,0
0,3,58,22441,8,1.2000000000012001e-05,0
0,3,78,11295,11,0.0024899999999999922,0
0,3,58,22442,0,0.060052999999999995,0
0,3,58,22442,8,1.3000000000013001e-05,0
0,3,58,22443,0,0.06253500000000001,0
0,3,58,22443,8,1.2999999999985246e-05,0
0,3,78,11296,11,0.0024350000000000205,0
1,3,60,40225,1,0.04245099999999996,0
0,3,68,40225,9,4.999999999999449e-05,0
0,3,58,22444,0,0.017603000000000035,0
0,3,58,22444,8,1.2000000000012001e-05,0
0,3,58,22445,0,0.06253499999999995,0
0,3,58,22445,8,1.1000000000038757e-05,0
0,3,78,11297,11,0.0023889999999999745,0
0,3,58,22446,0,0.06015300000000001,0
0,3,58,22446,8,1.2000000000012001e-05,0
0,3,58,22447,0,0.06253500000000001,0
0,3,58,22447,8,1.2999999999929734e-05,0
0,3,78,11298,11,0.0023330000000000295,0
0,3,58,22448,0,0.06021300000000007,0
0,3,58,22448,8,1.1999999999900979e-05,0
0,3,58,22449,0,0.06254400000000004,0
0,3,58,22449,8,1.2000000000012001e-05,0
0,3,78,11299,11,0.002226999999999979,0
0,3,58,22450,0,0.060311000000000003,0
0,3,58,22450,8,1.2000000000012001e-05,0
0,3,58,22451,0,0.06254300000000002,0
0,3,58,22451,8,1.2000000000012001e-05,0
0,3,78,11300,11,0.0021660000000000013,0
0,3,58,22452,0,0.06037300000000001,0
0,3,58,22452,8,1.2000000000012001e-05,0
0,3,58,22453,0,0.06254099999999996,0
0,3,58,22453,8,1.2000000000012001e-05,0
0,3,78,11301,11,0.0021099999999999453,0
0,3,58,22454,0,0.06042500000000006,0
0,3,58,22454,8,1.2000000000012001e-05,0
0,3,58,22455,0,0.06253300000000006,0
0,3,58,22455,8,1.2999999999818712e-05,0
0,3,78,11302,11,0.002068000000000181,0
0,3,58,22456,0,0.06047899999999995,0
0,3,58,22456,8,1.1999999999900979e-05,0
0,3,58,22457,0,0.06254099999999996,0
0,3,58,22457,8,1.2000000000123023e-05,0
0,3,78,11303,11,0.0020160000000000178,0
0,3,58,22458,0,0.060521999999999965,0
0,3,58,22458,8,1.3000000000040757e-05,0
0,3,58,22459,0,0.06253699999999984,0
0,3,58,22459,8,1.100000000020529e-05,0
0,3,78,11304,11,0.0019619999999997972,0
1,3,60,40226,1,0.02667100000000011,0
0,3,68,40226,9,5.100000000002325e-05,0
0,3,58,22460,0,0.03385899999999986,0
0,3,58,22460,8,1.2000000000123023e-05,0
0,3,58,22461,0,0.06253500000000001,0
0,3,58,22461,8,1.1999999999900979e-05,0
0,3,78,11305,11,0.001907000000000103,0
0,3,58,22462,0,0.06063899999999989,0
0,3,58,22462,8,1.2000000000123023e-05,0
0,3,58,22463,0,0.06253500000000001,0
0,3,58,22463,8,1.1999999999900979e-05,0
0,3,78,11306,11,0.0018450000000000966,0
0,3,58,22464,0,0.06069599999999986,0
0,3,58,22464,8,1.2000000000123023e-05,0
0,3,58,22465,0,0.0625389999999999,0
0,3,58,22465,8,1.3000000000040757e-05,0
0,3,78,11307,11,0.0017890000000000406,0
0,3,58,22466,0,0.060746999999999884,0
0,3,58,22466,8,1.2000000000123023e-05,0
0,3,58,22467,0,0.06253400000000009,0
0,3,58,22467,8,1.1999999999900979e-05,0
0,3,78,11308,11,0.0017380000000000173,0
0,3,58,22468,0,0.06080200000000002,0
0,3,58,22468,8,1.1999999999900979e-05,0
0,3,58,22469,0,0.06253900000000012,0
0,3,58,22469,8,1.1999999999900979e-05,0
0,3,78,11309,11,0.001678999999999986,0
0,3,58,22470,0,0.06086199999999997,0
0,3,58,22470,8,1.2000000000123023e-05,0
0,3,58,22471,0,0.06253799999999998,0
0,3,58,22471,8,1.1999999999900979e-05,0
0,3,78,11310,11,0.00162299999999993,0
0,3,58,22472,0,0.06091300000000022,0
0,3,58,22472,8,1.1999999999900979e-05,0
0,3,58,22473,0,0.0625420000000001,0
0,3,58,22473,8,1.1999999999900979e-05,0
0,3,78,11311,11,0.0015730000000000466,0
0,3,58,22474,0,0.06096099999999982,0
0,3,58,22474,8,1.3000000000040757e-05,0
0,3,58,22475,0,0.0625420000000001,0
0,3,58,22475,8,1.3000000000040757e-05,0
0,3,78,11312,11,0.0015169999999997685,0
0,3,58,22476,0,0.061026000000000025,0
0,3,58,22476,8,1.3000000000040757e-05,0
0,3,58,22477,0,0.06253900000000012,0
0,3,58,22477,8,1.1999999999900979e-05,0
0,3,78,11313,11,0.0014540000000002884,0
0,3,58,22478,0,0.06108199999999986,0
0,3,58,22478,8,1.1999999999900979e-05,0
0,3,58,22479,0,0.06253500000000001,0
0,3,58,22479,8,1.1999999999900979e-05,0
0,3,78,11314,11,0.0013650000000002827,0
0,3,58,22480,0,0.061177999999999955,0
0,3,58,22480,8,1.1999999999900979e-05,0
0,3,58,22481,0,0.06253500000000001,0
0,3,58,22481,8,1.100000000020529e-05,0
0,3,78,11315,11,0.00131099999999984,0
0,3,58,22482,0,0.06123099999999981,0
0,3,58,22482,8,1.2000000000345068e-05,0
1,3,60,40227,1,0.05252599999999985,0
0,3,68,40227,9,4.899999999974369e-05,0
0,3,58,22483,0,0.009958000000000133,0
